Time_UTCG,SatId,FrontId,FrontRangeKm,FrontDelayMs,BackId,BackRangeKm,BackDelayMs,LeftId,LeftRangeKm,LeftDelayMs,RightId,RightRangeKm,RightDelayMs
15 Dec 2025 00:06:20.000,Sat_6_13,Sat_6_1,3316.0234168604093,11.06106350700927,Sat_6_12,3316.0234168604175,11.0610635070093,Sat_5_1,2202.9855277034058,7.348368742830101,Sat_7_13,2299.139901010602,7.669105208145703
15 Dec 2025 00:06:20.000,Sat_7_1,Sat_7_2,3316.023416860416,11.061063507009294,Sat_7_13,3316.0234168604134,11.061063507009285,Sat_6_1,1979.0264383682422,6.601321632875242,Sat_8_13,2202.985527703409,7.348368742830112
15 Dec 2025 00:06:20.000,Sat_7_2,Sat_7_3,3316.0234168604143,11.061063507009287,Sat_7_1,3316.0234168604156,11.061063507009292,Sat_6_2,1206.953736147795,4.025964309441684,Sat_8_1,1640.3686137739974,5.471680724449704
15 Dec 2025 00:06:20.000,Sat_7_3,Sat_7_4,3316.0234168604165,11.061063507009296,Sat_7_2,3316.0234168604143,11.061063507009287,Sat_6_3,177.69405824596325,0.5927235776090246,Sat_8_2,705.0113707923117,2.3516648000274634
15 Dec 2025 00:06:20.000,Sat_7_4,Sat_7_5,3316.0234168604156,11.061063507009292,Sat_7_3,3316.0234168604165,11.061063507009296,Sat_6_4,933.9243852797616,3.1152364255933405,Sat_8_3,408.62253387344134,1.3630180578907072
15 Dec 2025 00:06:20.000,Sat_7_5,Sat_7_6,3316.0234168604125,11.061063507009282,Sat_7_4,3316.0234168604156,11.061063507009292,Sat_6_5,1803.4556605180949,6.01568055630704,Sat_8_4,1409.1627990945294,4.7004611406686205
15 Dec 2025 00:06:20.000,Sat_7_6,Sat_7_7,3316.0234168604175,11.0610635070093,Sat_7_5,3316.023416860412,11.06106350700928,Sat_6_6,2261.873302385614,7.544797215631135,Sat_8_5,2093.3618317836012,6.982703453412432
15 Dec 2025 00:06:20.000,Sat_7_7,Sat_7_8,3316.023416860416,11.061063507009294,Sat_7_6,3316.023416860418,11.0610635070093,Sat_6_7,2202.985527703409,7.348368742830112,Sat_8_6,2299.1399010106024,7.669105208145705
15 Dec 2025 00:06:20.000,Sat_7_8,Sat_7_9,3316.023416860416,11.061063507009294,Sat_7_7,3316.0234168604165,11.061063507009296,Sat_6_8,1640.368613773995,5.471680724449696,Sat_8_7,1979.026438368243,6.601321632875244
15 Dec 2025 00:06:20.000,Sat_7_9,Sat_7_10,3316.0234168604115,11.061063507009278,Sat_7_8,3316.0234168604156,11.061063507009292,Sat_6_9,705.0113707923115,2.3516648000274625,Sat_8_8,1206.9537361477956,4.025964309441686
15 Dec 2025 00:06:20.000,Sat_7_10,Sat_7_11,3316.023416860413,11.061063507009283,Sat_7_9,3316.023416860412,11.06106350700928,Sat_6_10,408.62253387344066,1.3630180578907047,Sat_8_9,177.69405824596421,0.5927235776090278
15 Dec 2025 00:06:20.000,Sat_7_11,Sat_7_12,3316.0234168604243,11.06106350700932,Sat_7_10,3316.0234168604125,11.061063507009282,Sat_6_11,1409.1627990945278,4.700461140668615,Sat_8_10,933.924385279762,3.115236425593342
