时间戳,数值,指标名称,实例地址,数值_百分比,计量单位,容器实例,endpoint,任务名称,命名空间,容器名称,service,数值_GB,数值_MB,设备名称,文件系统类型,挂载点,数值_MBps
2026-01-09 11:22:59.486,23726129152,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 19:22:59.486,23996203008,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 20:22:59.486,24005406720,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 21:22:59.486,24006225920,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 22:22:59.486,24015425536,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 23:22:59.486,24016257024,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 00:22:59.486,24017080320,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 01:22:59.486,24026271744,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 02:22:59.486,24027086848,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 03:22:59.486,24036282368,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 04:22:59.486,24045481984,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 05:22:59.486,24046305280,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 06:22:59.486,24045481984,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 07:22:59.486,24054685696,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 08:22:59.486,24055496704,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 09:22:59.486,24056311808,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 10:22:59.486,24065523712,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 11:22:59.486,24066334720,磁盘使用量,10.1.3.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 19:22:59.486,22060478464,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 20:22:59.486,22061240320,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 21:22:59.486,22062014464,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 22:22:59.486,22071181312,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 23:22:59.486,22071959552,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 00:22:59.486,22072745984,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 01:22:59.486,22090301440,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 02:22:59.486,22091079680,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 03:22:59.486,22100234240,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 04:22:59.486,22101012480,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 05:22:59.486,22110175232,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 06:22:59.486,22114873344,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 07:22:59.486,22111846400,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 08:22:59.486,22121009152,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 09:22:59.486,22130159616,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 10:22:59.486,22139326464,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 11:22:59.486,22140104704,磁盘使用量,10.1.4.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 19:22:59.486,22747504640,磁盘使用量,10.1.5.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 20:22:59.486,22757490688,磁盘使用量,10.1.5.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 21:22:59.486,22759084032,磁盘使用量,10.1.5.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 22:22:59.486,22769065984,磁盘使用量,10.1.5.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 23:22:59.486,22779060224,磁盘使用量,10.1.5.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 00:22:59.486,22789050368,磁盘使用量,10.1.5.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 01:22:59.486,22802771968,磁盘使用量,10.1.5.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
