PlaneIdx,SatId,Side,OldNeighborSatId,NewNeighborSatId,StartTime_UTCG,EndTime_UTCG,Duration_sec,Duration_min
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 05:25:30.911,2025-12-15 05:50:54.477,1523.57,25.39
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 05:56:12.870,2025-12-15 06:05:25.448,552.58,9.21
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 06:13:20.484,2025-12-15 06:38:44.001,1523.52,25.39
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 06:44:03.901,2025-12-15 06:53:13.516,549.62,9.16
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 07:01:10.071,2025-12-15 07:26:33.648,1523.58,25.39
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 07:31:54.610,2025-12-15 07:41:02.024,547.41,9.12
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 07:48:59.666,2025-12-15 08:14:23.390,1523.72,25.40
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 08:19:44.952,2025-12-15 08:28:50.917,545.97,9.10
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 08:36:49.263,2025-12-15 09:02:13.201,1523.94,25.40
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 09:07:34.876,2025-12-15 09:16:40.147,545.27,9.09
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 09:24:38.858,2025-12-15 09:50:03.057,1524.20,25.40
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 09:55:24.324,2025-12-15 10:04:29.673,545.35,9.09
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 10:12:28.444,2025-12-15 10:37:52.931,1524.49,25.41
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 10:43:13.228,2025-12-15 10:52:19.460,546.23,9.10
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 11:00:18.016,2025-12-15 11:25:42.798,1524.78,25.41
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 11:31:01.506,2025-12-15 11:40:09.478,547.97,9.13
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 11:48:07.569,2025-12-15 12:13:32.634,1525.07,25.42
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 12:18:49.063,2025-12-15 12:27:59.699,550.64,9.18
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 12:35:57.007,2025-12-15 13:01:22.414,1525.41,25.42
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 13:06:35.784,2025-12-15 13:15:50.100,554.32,9.24
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 13:23:46.245,2025-12-15 13:49:12.112,1525.87,25.43
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 13:54:21.530,2025-12-15 14:03:40.661,559.13,9.32
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 14:11:35.548,2025-12-15 14:37:01.703,1526.15,25.44
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 14:42:06.130,2025-12-15 14:51:31.363,565.23,9.42
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 15:29:55.175,2025-12-15 15:39:22.189,567.01,9.45
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 16:17:47.329,2025-12-15 16:27:13.125,565.80,9.43
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 17:05:39.322,2025-12-15 17:15:04.158,564.84,9.41
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 17:53:31.130,2025-12-15 18:02:52.738,561.61,9.36
