Time_UTCG,SatId,FrontId,FrontRangeKm,BackId,BackRangeKm,LeftId,LeftRangeKm,LeftChanged,RightId,RightRangeKm,RightChanged
'15 Dec 2025 02:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604165,Sat_1_3,3316.02341686043,Sat_15_5,2758.654321624395,1,Sat_2_3,2250.5207691902847,0
'15 Dec 2025 03:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604165,Sat_1_3,3316.0234168604293,Sat_15_5,2056.33656071704,0,Sat_2_3,1917.8097171197585,0
'15 Dec 2025 04:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604156,Sat_1_3,3316.0234168604406,Sat_15_5,1612.6788893995035,0,Sat_2_3,430.30128418145887,0
'15 Dec 2025 05:00:00.000,Sat_1_4,Sat_1_5,3316.023416860415,Sat_1_3,3316.0234168604375,Sat_15_4,2322.4873960105238,1,Sat_2_3,1331.4698039501789,0
'15 Dec 2025 06:00:00.000,Sat_1_4,Sat_1_5,3316.023416860416,Sat_1_3,3316.02341686044,Sat_15_5,2739.3363975939583,1,Sat_2_3,2274.7247372432103,0
'15 Dec 2025 07:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604156,Sat_1_3,3316.023416860443,Sat_15_5,1986.6135503070354,0,Sat_2_3,1841.511420628101,0
'15 Dec 2025 08:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604156,Sat_1_3,3316.0234168604616,Sat_15_5,1650.196541749042,0,Sat_2_3,303.51299467884127,0
'15 Dec 2025 09:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604156,Sat_1_3,3316.023416860465,Sat_15_4,2387.027499102386,1,Sat_2_3,1437.0074639627708,0
'15 Dec 2025 10:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604165,Sat_1_3,3316.0234168604675,Sat_15_5,2713.991048078891,1,Sat_2_3,2291.421904362679,0
'15 Dec 2025 11:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604143,Sat_1_3,3316.023416860513,Sat_15_5,1918.2623569745854,0,Sat_2_3,1759.1482498027979,0
'15 Dec 2025 12:00:00.000,Sat_1_4,Sat_1_5,3316.023416860416,Sat_1_3,3316.023416860467,Sat_15_5,1696.0864840864554,0,Sat_2_3,181.46006278579975,0
'15 Dec 2025 13:00:00.000,Sat_1_4,Sat_1_5,3316.023416860415,Sat_1_3,3316.0234168604634,Sat_15_4,2449.746056405177,1,Sat_2_3,1537.8410737675279,0
'15 Dec 2025 14:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604165,Sat_1_3,3316.0234168604647,Sat_15_5,2682.787722182777,1,Sat_2_3,2300.5568370918727,0
'15 Dec 2025 15:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604156,Sat_1_3,3316.0234168605134,Sat_15_5,1852.3868150893284,0,Sat_2_3,1670.995598974226,0
'15 Dec 2025 16:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604156,Sat_1_3,3316.023416860511,Sat_15_5,1749.1103309438508,0,Sat_2_3,91.45460337084533,0
'15 Dec 2025 17:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604156,Sat_1_3,3316.023416860513,Sat_15_4,2509.98145774718,1,Sat_2_3,1633.6289707854066,0
'15 Dec 2025 18:00:00.000,Sat_1_4,Sat_1_5,3316.023416860415,Sat_1_3,3316.0234168605116,Sat_15_5,2645.9395306387314,1,Sat_2_3,2302.099211112707,0
'15 Dec 2025 19:00:00.000,Sat_1_4,Sat_1_5,3316.023416860415,Sat_1_3,3316.023416860512,Sat_15_5,1790.1770507143617,0,Sat_2_3,1577.3489542236584,0
'15 Dec 2025 20:00:00.000,Sat_1_4,Sat_1_5,3316.023416860415,Sat_1_3,3316.0234168605125,Sat_15_4,1775.2716324316414,1,Sat_2_3,136.94226193510877,0
'15 Dec 2025 21:00:00.000,Sat_1_4,Sat_1_5,3316.023416860415,Sat_1_3,3316.0234168605098,Sat_15_4,2567.13993952019,0,Sat_2_3,1724.048405768078,0
'15 Dec 2025 22:00:00.000,Sat_1_4,Sat_1_5,3316.023416860415,Sat_1_3,3316.023416860608,Sat_15_5,2603.704909005449,1,Sat_2_3,2296.0439065688397,0
'15 Dec 2025 23:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604156,Sat_1_3,3316.0234168606103,Sat_15_5,1732.8919921980707,0,Sat_2_3,1478.5232953132534,0
'16 Dec 2025 00:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604165,Sat_1_3,3316.023416860511,Sat_15_4,1807.6151729083886,1,Sat_2_3,252.8996519117861,0
'15 Dec 2025 00:00:00.000,Sat_1_5,Sat_1_6,3316.0234168604125,Sat_1_4,3316.0234168604156,Sat_15_5,1916.1295956371118,0,Sat_2_4,557.5086811099446,0
'15 Dec 2025 01:00:00.000,Sat_1_5,Sat_1_6,3316.0234168604197,Sat_1_4,3316.023416860416,Sat_15_5,2732.043116777841,0,Sat_2_4,1987.7884927015054,0
'15 Dec 2025 02:00:00.000,Sat_1_5,Sat_1_6,3316.0234168604247,Sat_1_4,3316.0234168604165,Sat_15_6,2423.993458861438,1,Sat_2_4,2218.8903689424633,0
'15 Dec 2025 03:00:00.000,Sat_1_5,Sat_1_6,3316.0234168604356,Sat_1_4,3316.0234168604156,Sat_15_6,1592.0170393569795,0,Sat_2_4,1107.7441900462447,0
'15 Dec 2025 04:00:00.000,Sat_1_5,Sat_1_6,3316.023416860436,Sat_1_4,3316.023416860415,Sat_15_5,1971.300786249917,1,Sat_2_4,683.6888782265092,0
'15 Dec 2025 05:00:00.000,Sat_1_5,Sat_1_6,3316.0234168604366,Sat_1_4,3316.0234168604165,Sat_15_6,2768.5120359992707,1,Sat_2_4,2051.2145152698513,0
'15 Dec 2025 06:00:00.000,Sat_1_5,Sat_1_6,3316.023416860461,Sat_1_4,3316.0234168604156,Sat_15_6,2362.374353723045,0,Sat_2_4,2179.9385894195934,0
'15 Dec 2025 07:00:00.000,Sat_1_5,Sat_1_6,3316.023416860463,Sat_1_4,3316.023416860416,Sat_15_6,1571.1475733592297,0,Sat_2_4,990.3382027492353,0
'15 Dec 2025 08:00:00.000,Sat_1_5,Sat_1_6,3316.023416860461,Sat_1_4,3316.0234168604165,Sat_15_5,2030.7234479634014,1,Sat_2_4,808.0433516530114,0
'15 Dec 2025 09:00:00.000,Sat_1_5,Sat_1_6,3316.023416860462,Sat_1_4,3316.023416860416,Sat_15_6,2777.3186079062216,1,Sat_2_4,2107.876615189737,0
'15 Dec 2025 10:00:00.000,Sat_1_5,Sat_1_6,3316.023416860462,Sat_1_4,3316.0234168604165,Sat_15_6,2297.6679417588202,0,Sat_2_4,2133.7948413669187,0
'15 Dec 2025 11:00:00.000,Sat_1_5,Sat_1_6,3316.0234168604616,Sat_1_4,3316.0234168604147,Sat_15_6,1561.089414830652,0,Sat_2_4,869.7990601195016,0
'15 Dec 2025 12:00:00.000,Sat_1_5,Sat_1_6,3316.0234168605093,Sat_1_4,3316.0234168604165,Sat_15_5,2093.2854721244635,1,Sat_2_4,929.9872330088991,0
'15 Dec 2025 13:00:00.000,Sat_1_5,Sat_1_6,3316.023416860509,Sat_1_4,3316.023416860415,Sat_15_6,2779.8496074858467,1,Sat_2_4,2157.5862954598374,0
'15 Dec 2025 14:00:00.000,Sat_1_5,Sat_1_6,3316.023416860509,Sat_1_4,3316.023416860415,Sat_15_6,2230.4984983648283,0,Sat_2_4,2080.6124945783313,0
'15 Dec 2025 15:00:00.000,Sat_1_5,Sat_1_6,3316.0234168605098,Sat_1_4,3316.023416860415,Sat_15_6,1562.1846252203034,0,Sat_2_4,746.5928988889665,0
'15 Dec 2025 16:00:00.000,Sat_1_5,Sat_1_6,3316.023416860509,Sat_1_4,3316.023416860415,Sat_15_5,2157.92439628658,1,Sat_2_4,1049.0268940948442,0
'15 Dec 2025 17:00:00.000,Sat_1_5,Sat_1_6,3316.0234168605075,Sat_1_4,3316.0234168604156,Sat_15_6,2776.088736158156,1,Sat_2_4,2200.178291185372,0
'15 Dec 2025 18:00:00.000,Sat_1_5,Sat_1_6,3316.023416860511,Sat_1_4,3316.023416860415,Sat_15_6,2161.565878577008,0,Sat_2_4,2020.5684106219371,0
'15 Dec 2025 19:00:00.000,Sat_1_5,Sat_1_6,3316.0234168605098,Sat_1_4,3316.023416860415,Sat_15_6,1574.3955789254358,0,Sat_2_4,621.2504079586902,0
'15 Dec 2025 20:00:00.000,Sat_1_5,Sat_1_6,3316.0234168605098,Sat_1_4,3316.023416860416,Sat_15_5,2223.6431235542077,1,Sat_2_4,1164.7169908831868,0
'15 Dec 2025 21:00:00.000,Sat_1_5,Sat_1_6,3316.023416860509,Sat_1_4,3316.0234168604165,Sat_15_6,2766.0602228207968,1,Sat_2_4,2235.511069422194,0
'15 Dec 2025 22:00:00.000,Sat_1_5,Sat_1_6,3316.0234168605084,Sat_1_4,3316.0234168604143,Sat_15_6,2091.6519098456642,0,Sat_2_4,1953.8624124697667,0
'15 Dec 2025 23:00:00.000,Sat_1_5,Sat_1_6,3316.023416860509,Sat_1_4,3316.0234168604156,Sat_15_6,1597.3090299077878,0,Sat_2_4,494.4375510956576,0
'16 Dec 2025 00:00:00.000,Sat_1_5,Sat_1_6,3316.0234168606025,Sat_1_4,3316.0234168604165,Sat_15_5,2289.518182920722,1,Sat_2_4,1276.643228371496,0
'15 Dec 2025 00:00:00.000,Sat_1_6,Sat_1_7,3316.0234168604184,Sat_1_5,3316.023416860413,Sat_15_6,2443.7124863289014,0,Sat_2_5,1528.1982208788052,0
'15 Dec 2025 01:00:00.000,Sat_1_6,Sat_1_7,3316.023416860421,Sat_1_5,3316.0234168604206,Sat_15_7,2686.091739253511,1,Sat_2_5,2299.9981984273704,0
'15 Dec 2025 02:00:00.000,Sat_1_6,Sat_1_7,3316.023416860416,Sat_1_5,3316.0234168604247,Sat_15_7,1858.6865935235896,0,Sat_2_5,1679.862913952625,0
