Node Name(节点名称),Node IP(节点IP),Time(时间)(YYYY-MM-DD HH:MM:SS),CPU Usage(CPU使用率)(%)
k8s-worker11,10.1.1.10,2026-01-22 09:27:16,0.8750000000388098%
k8s-worker11,10.1.1.10,2026-01-22 10:27:16,0.8866371120458183%
k8s-worker11,10.1.1.10,2026-01-22 11:27:16,0.9541666667792015%
k8s-worker11,10.1.1.10,2026-01-22 12:27:16,0.8666666666977108%
k8s-worker11,10.1.1.10,2026-01-22 13:27:16,0.949999999914624%
k8s-worker11,10.1.1.10,2026-01-22 14:27:16,0.93333333323244%
k8s-worker11,10.1.1.10,2026-01-22 15:27:16,0.9166666666472594%
k8s-worker12,10.1.2.10,2026-01-15 15:27:16,0.8408053064451622%
k8s-worker12,10.1.2.10,2026-01-15 16:27:16,0.8833333332828914%
k8s-worker12,10.1.2.10,2026-01-15 17:27:16,0.8616379453766001%
k8s-worker12,10.1.2.10,2026-01-15 18:27:16,0.9050301676450943%
k8s-worker12,10.1.2.10,2026-01-15 19:27:16,0.9158028066468518%
k8s-worker12,10.1.2.10,2026-01-15 20:27:16,0.9624999999262656%
k8s-worker12,10.1.2.10,2026-01-15 21:27:16,0.8133604452841325%
k8s-worker12,10.1.2.10,2026-01-15 22:27:16,0.8324722509696016%
k8s-worker12,10.1.2.10,2026-01-15 23:27:16,0.8708333334652707%
k8s-worker12,10.1.2.10,2026-01-16 00:27:16,0.9000000000620787%
k8s-worker12,10.1.2.10,2026-01-16 01:27:16,0.8958333332460171%
k8s-worker12,10.1.2.10,2026-01-16 02:27:16,0.8050268343500449%
k8s-worker12,10.1.2.10,2026-01-16 03:27:16,0.8800293343091994%
k8s-worker12,10.1.2.10,2026-01-16 04:27:16,0.9866337788682245%
k8s-worker12,10.1.2.10,2026-01-16 05:27:16,0.8991366954046782%
k8s-worker12,10.1.2.10,2026-01-16 06:27:16,0.85833333330811%
k8s-worker12,10.1.2.10,2026-01-16 07:27:16,0.8624999999786667%
k8s-worker12,10.1.2.10,2026-01-16 08:27:16,0.8708333333197515%
k8s-worker12,10.1.2.10,2026-01-16 09:27:16,0.8916666666239763%
k8s-worker12,10.1.2.10,2026-01-16 10:27:16,0.8841961399702853%
k8s-worker12,10.1.2.10,2026-01-16 11:27:16,0.8949701677153996%
k8s-worker12,10.1.2.10,2026-01-16 12:27:16,0.8199726676107417%
k8s-worker12,10.1.2.10,2026-01-16 13:27:16,0.9875000000465661%
k8s-worker12,10.1.2.10,2026-01-16 14:27:16,0.8675289177140257%
k8s-worker12,10.1.2.10,2026-01-16 15:27:16,0.7958333333954215%
k8s-worker12,10.1.2.10,2026-01-16 16:27:16,0.971699056621631%
k8s-worker12,10.1.2.10,2026-01-16 17:27:16,0.8658044731143804%
k8s-worker12,10.1.2.10,2026-01-16 18:27:16,0.9291666667559184%
k8s-worker12,10.1.2.10,2026-01-16 19:27:16,0.8341944731529765%
k8s-worker12,10.1.2.10,2026-01-16 20:27:16,0.9333333333779592%
k8s-worker12,10.1.2.10,2026-01-16 21:27:16,0.9158028066468518%
k8s-worker12,10.1.2.10,2026-01-16 22:27:16,0.895833333294533%
k8s-worker12,10.1.2.10,2026-01-16 23:27:16,0.8541666666375534%
k8s-worker12,10.1.2.10,2026-01-17 00:27:16,0.8383612789110799%
k8s-worker12,10.1.2.10,2026-01-17 01:27:16,0.8833333333313931%
k8s-worker12,10.1.2.10,2026-01-17 02:27:16,0.8583333334051275%
k8s-worker12,10.1.2.10,2026-01-17 03:27:16,0.8916666666724922%
k8s-worker12,10.1.2.10,2026-01-17 04:27:16,0.8574714176388198%
k8s-worker12,10.1.2.10,2026-01-17 05:27:16,0.8550285009733045%
k8s-worker12,10.1.2.10,2026-01-17 06:27:16,0.8616379454736176%
k8s-worker12,10.1.2.10,2026-01-17 07:27:16,0.8966965565169573%
k8s-worker12,10.1.2.10,2026-01-17 08:27:16,0.9008633620325099%
k8s-worker12,10.1.2.10,2026-01-17 09:27:16,0.9175305843858013%
k8s-worker12,10.1.2.10,2026-01-17 10:27:16,0.8958333333430346%
k8s-worker12,10.1.2.10,2026-01-17 11:27:16,0.9175305842887838%
k8s-worker12,10.1.2.10,2026-01-17 12:27:16,0.8666666666977108%
k8s-worker12,10.1.2.10,2026-01-17 13:27:16,0.8258608619763379%
k8s-worker12,10.1.2.10,2026-01-17 14:27:16,0.86250000007567%
k8s-worker12,10.1.2.10,2026-01-17 15:27:16,0.8500000000155126%
k8s-worker12,10.1.2.10,2026-01-17 16:27:16,0.8091936397685942%
k8s-worker12,10.1.2.10,2026-01-17 17:27:16,0.9416666666220408%
k8s-worker12,10.1.2.10,2026-01-17 18:27:16,0.9208333332693002%
k8s-worker12,10.1.2.10,2026-01-17 19:27:16,0.8374999999553694%
k8s-worker12,10.1.2.10,2026-01-17 20:27:16,0.8633621121984589%
k8s-worker12,10.1.2.10,2026-01-17 21:27:16,0.9041666665871162%
k8s-worker12,10.1.2.10,2026-01-17 22:27:16,0.8291666666627862%
k8s-worker12,10.1.2.10,2026-01-17 23:27:16,0.9425314176246644%
k8s-worker12,10.1.2.10,2026-01-18 00:27:16,0.9333333333294576%
k8s-worker12,10.1.2.10,2026-01-18 01:27:16,0.8833333334284106%
k8s-worker12,10.1.2.10,2026-01-18 02:27:16,0.8333333332363253%
k8s-worker12,10.1.2.10,2026-01-18 03:27:16,0.8008600287374747%
k8s-worker12,10.1.2.10,2026-01-18 04:27:16,0.9416666666220408%
k8s-worker12,10.1.2.10,2026-01-18 05:27:16,0.9324689177434919%
k8s-worker12,10.1.2.10,2026-01-18 06:27:16,0.8991366954531799%
k8s-worker12,10.1.2.10,2026-01-18 07:27:16,0.9249999999398568%
k8s-worker12,10.1.2.10,2026-01-18 08:27:16,0.8800293342606835%
k8s-worker12,10.1.2.10,2026-01-18 09:27:16,0.9166666666472736%
k8s-worker12,10.1.2.10,2026-01-18 10:27:16,0.9249999999883585%
k8s-worker12,10.1.2.10,2026-01-18 11:27:16,0.8833333333798947%
k8s-worker12,10.1.2.10,2026-01-18 12:27:16,0.9750000000834405%
k8s-worker12,10.1.2.10,2026-01-18 13:27:16,0.9324689176949903%
k8s-worker12,10.1.2.10,2026-01-18 14:27:16,0.9208333332693144%
k8s-worker12,10.1.2.10,2026-01-18 15:27:16,0.8750000000388098%
k8s-worker12,10.1.2.10,2026-01-18 16:27:16,0.9583333331587056%
k8s-worker12,10.1.2.10,2026-01-18 17:27:16,0.8833333333798947%
k8s-worker12,10.1.2.10,2026-01-18 18:27:16,0.949999999914624%
k8s-worker12,10.1.2.10,2026-01-18 19:27:16,0.8583333333566259%
k8s-worker12,10.1.2.10,2026-01-18 20:27:16,0.8541666664920342%
k8s-worker12,10.1.2.10,2026-01-18 21:27:16,0.9166666666472736%
k8s-worker12,10.1.2.10,2026-01-18 22:27:16,0.9175305844343029%
k8s-worker12,10.1.2.10,2026-01-18 23:27:16,0.8666666666977108%
k8s-worker12,10.1.2.10,2026-01-19 00:27:16,0.8908036397351111%
k8s-worker12,10.1.2.10,2026-01-19 01:27:16,1.0374999999961148%
k8s-worker12,10.1.2.10,2026-01-19 02:27:16,0.93333333323244%
k8s-worker12,10.1.2.10,2026-01-19 03:27:16,0.8699710009006765%
k8s-worker12,10.1.2.10,2026-01-19 04:27:16,0.9324689175979728%
k8s-worker12,10.1.2.10,2026-01-19 05:27:16,0.8883629454858379%
k8s-worker12,10.1.2.10,2026-01-19 06:27:16,0.8249999998952262%
k8s-worker12,10.1.2.10,2026-01-19 07:27:16,0.9666666665968222%
k8s-worker12,10.1.2.10,2026-01-19 08:27:16,0.8283057231348039%
k8s-worker12,10.1.2.10,2026-01-19 09:27:16,0.8416666668684627%
k8s-worker12,10.1.2.10,2026-01-19 10:27:16,0.9050301675480767%
k8s-worker12,10.1.2.10,2026-01-19 11:27:16,0.8874999999534339%
k8s-worker12,10.1.2.10,2026-01-19 12:27:16,0.8074730843003834%
k8s-worker12,10.1.2.10,2026-01-19 13:27:16,0.9083333333061603%
k8s-worker12,10.1.2.10,2026-01-19 14:27:16,0.9041666666356178%
k8s-worker12,10.1.2.10,2026-01-19 15:27:16,0.8750000000388098%
k8s-worker12,10.1.2.10,2026-01-19 16:27:16,0.8925297508558714%
k8s-worker12,10.1.2.10,2026-01-19 17:27:16,0.908333333209157%
k8s-worker12,10.1.2.10,2026-01-19 18:27:16,0.8916666666239763%
k8s-worker12,10.1.2.10,2026-01-19 19:27:16,0.9508650289468363%
k8s-worker12,10.1.2.10,2026-01-19 20:27:16,0.9958333334846685%
k8s-worker12,10.1.2.10,2026-01-19 21:27:16,0.9625000000232831%
k8s-worker12,10.1.2.10,2026-01-19 22:27:16,0.891666666526973%
k8s-worker12,10.1.2.10,2026-01-19 23:27:16,0.8874999999534339%
k8s-worker12,10.1.2.10,2026-01-20 00:27:16,0.8875000000504514%
k8s-worker12,10.1.2.10,2026-01-20 01:27:16,0.8500000002095476%
k8s-worker12,10.1.2.10,2026-01-20 02:27:16,0.9008633621780433%
k8s-worker12,10.1.2.10,2026-01-20 03:27:16,0.9833333332790062%
k8s-worker12,10.1.2.10,2026-01-20 04:27:16,0.9699676677715701%
k8s-worker12,10.1.2.10,2026-01-20 05:27:16,0.8883629454858379%
k8s-worker12,10.1.2.10,2026-01-20 06:27:16,0.886637111948815%
k8s-worker12,10.1.2.10,2026-01-20 07:27:16,0.9541666665851807%
k8s-worker12,10.1.2.10,2026-01-20 08:27:16,0.9041666665386145%
k8s-worker12,10.1.2.10,2026-01-20 09:27:16,0.9208333334148335%
k8s-worker12,10.1.2.10,2026-01-20 10:27:16,0.895833333294533%
k8s-worker12,10.1.2.10,2026-01-20 11:27:16,0.9000000000620929%
k8s-worker12,10.1.2.10,2026-01-20 12:27:16,0.9158028066468518%
k8s-worker12,10.1.2.10,2026-01-20 13:27:16,0.8708333333682532%
k8s-worker12,10.1.2.10,2026-01-20 14:27:16,0.7999999998719431%
k8s-worker12,10.1.2.10,2026-01-20 15:27:16,0.9124999999767169%
k8s-worker12,10.1.2.10,2026-01-20 16:27:16,0.8500000001125443%
k8s-worker12,10.1.2.10,2026-01-20 17:27:16,0.8708333332712499%
k8s-worker12,10.1.2.10,2026-01-20 18:27:16,0.9541666667792015%
k8s-worker12,10.1.2.10,2026-01-20 19:27:16,0.94166666676756%
k8s-worker12,10.1.2.10,2026-01-20 20:27:16,0.8416666667714452%
k8s-worker12,10.1.2.10,2026-01-20 21:27:16,0.9249999999883585%
k8s-worker12,10.1.2.10,2026-01-20 22:27:16,0.8633621120044239%
k8s-worker12,10.1.2.10,2026-01-20 23:27:16,0.9658011399852882%
k8s-worker12,10.1.2.10,2026-01-21 00:27:16,0.8866371122398391%
k8s-worker12,10.1.2.10,2026-01-21 01:27:16,0.9208333334148335%
k8s-worker12,10.1.2.10,2026-01-21 02:27:16,0.8874999998564164%
k8s-worker12,10.1.2.10,2026-01-21 03:27:16,0.8583333334536292%
k8s-worker12,10.1.2.10,2026-01-21 04:27:16,0.8666666668917316%
k8s-worker12,10.1.2.10,2026-01-21 05:27:16,0.9374999998059792%
k8s-worker12,10.1.2.10,2026-01-21 06:27:16,0.9250000001823793%
k8s-worker12,10.1.2.10,2026-01-21 07:27:16,0.9125000002677552%
k8s-worker12,10.1.2.10,2026-01-21 08:27:16,0.8875000000504514%
k8s-worker12,10.1.2.10,2026-01-21 09:27:16,0.895833333294533%
k8s-worker12,10.1.2.10,2026-01-21 10:27:16,0.9375000000970175%
k8s-worker12,10.1.2.10,2026-01-21 11:27:16,0.8658044732113979%
k8s-worker12,10.1.2.10,2026-01-21 12:27:16,0.8666666666007075%
k8s-worker12,10.1.2.10,2026-01-21 13:27:16,0.9008633622750466%
k8s-worker12,10.1.2.10,2026-01-21 14:27:16,0.8666666666977108%
k8s-worker12,10.1.2.10,2026-01-21 15:27:16,0.8833333332828914%
