UTCG,r_x,r_y,r_z,v_x,v_y,v_z,a_x,a_y,a_z,lla_Lat,lla_Lon,lla_Alt,coe_Semi-major_Axis,coe_Eccentricity,coe_Inclination,coe_RAAN,coe_Arg_of_Perigee,coe_True_Anomaly
15 Dec 2025 18:12:00.000,-2788.0013841354657,4231.9619943041425,-4724.047867199596,-6.828640843460743,-0.9781731412960795,3.1537928878672234,0.003341806961352816,-0.005072594344185402,0.005662427622240061,-43.24408424092533,125.94297001255356,559.9955715130991,6928.136999999997,7.477741322021924e-16,53.00000456575372,167.99999084478182,0.0,301.3740924064987
15 Dec 2025 18:13:00.000,-3191.4121458160666,4164.186418891132,-4524.7676487339495,-6.613548759732222,-1.2802002629262523,3.486492238962126,0.003825350800082748,-0.004991355901832487,0.005423562596878868,-41.037504617652196,129.79551962389448,559.1769536294352,6928.136999999999,6.590987188222471e-16,53.000004565761216,167.99999084478736,0.0,305.137819019869
15 Dec 2025 18:14:00.000,-3581.0565959356813,4078.448422762387,-4305.969624874468,-6.369928811663243,-1.576705178437304,3.804152436157983,0.004292393802023738,-0.004888587002955366,0.005161302770386489,-38.6938678803737,133.37583592434254,558.3176938991285,6928.137000000003,1.8338625944036148e-16,53.00000456576871,167.9999908447929,0.0,308.90154563323927
15 Dec 2025 18:15:00.000,-3955.2539842017345,3975.1178409354065,-4068.5975915421213,-6.098831865752425,-1.8664088994507513,4.105403236739236,0.004740921354464442,-0.00476473094619909,0.004876779413284025,-36.23204144379173,136.708992077563,557.4325663156158,6928.136999999996,9.283538302578872e-16,53.000004565776194,167.99999084480095,0.0,312.6652722466096
15 Dec 2025 18:16:00.000,-4312.390191973967,3854.6403949025234,-3813.675464551415,-5.801427311865645,-2.1480617748706616,4.388945180720995,0.005168998711985025,-0.004620321990690788,0.004571219830915095,-33.66861428099446,139.82072407055702,556.5368062973245,6928.136999999996,5.549271474304742e-16,53.00000456578369,167.9999908448065,0.0,316.42899885997986
15 Dec 2025 18:17:00.000,-4650.924694844781,3717.5357699885794,-3542.3028628997045,-5.478998019015477,-2.420448881316091,4.653555196132885,0.005574779342077016,-0.004455983051485713,0.004245942069404459,-31.018087404113153,142.73624044425,555.645849516411,6928.137000000003,2.338981627072523e-16,53.00000456579119,167.99999084481195,0.0,320.1927254733502
15 Dec 2025 18:18:00.000,-4969.397207765433,3564.3953736637163,-3255.6503655071483,-5.132934801643662,-2.682395263750981,4.898091874799497,0.005956512890250207,-0.004272423012593744,0.0039023492302019433,-28.29311209704216,145.47952798452127,554.7750661126086,6928.137,3.6677251888072296e-16,53.00000456579871,167.99999084481624,0.0,323.9564520867205
15 Dec 2025 18:19:00.000,-5266.433984057279,3395.87978447772,-2954.954461867589,-4.764730420274921,-2.932771003710812,5.1215003958600915,0.006312552730272638,-0.004070433669172779,0.0035419234177360734,-25.504739957638083,148.0730078331458,553.9394948507207,6928.137000000005,6.05991366985161e-16,53.00000456580621,167.99999084482423,0.0,327.7201787000908
15 Dec 2025 18:20:00.000,-5540.753741133905,3212.715902623652,-2641.5122183909602,-4.37597314242255,-3.1704960932594206,5.322817075789701,0.006641363066971806,-0.003850886312083448,0.0031662193462845163,-22.66266399457219,150.53742540036382,553.1535818627638,6928.136999999992,1.1027094735453066e-15,53.00000456581374,167.99999084483107,0.0,331.4839053134611
15 Dec 2025 18:21:00.000,-5791.1731873767685,3015.6938144174414,-2316.6756834442303,-3.96833989151867,-3.3945450936570634,5.501173525294904,0.006941525560962833,-0.003614727969532274,0.0027768576336383937,-19.775440312603607,152.8918880796363,552.4309286151961,6928.136999999999,2.1327634592840269e-16,53.00000456582128,167.99999084483525,0.0,335.24763192683145
15 Dec 2025 18:22:00.000,-6016.612126321204,2805.6633842217934,-1981.8460552249762,-3.543589013423184,-3.6039515586402997,5.6558003951532685,0.0072117454467245275,-0.0033629773220190872,0.002375517810488597,-16.85068640655428,155.15399100385227,551.784053651842,6928.137000000004,1.8694353305054814e-16,53.00000456582879,167.9999908448408,0.0,339.01135854020174
15 Dec 2025 18:23:00.000,-6216.098116135947,2583.5305885157168,-1638.4676376247978,-3.1035526917138387,-3.797812203234318,5.7860306948386855,0.007450857117632831,-0.0030967203082100563,0.001963931075688443,-13.895255907757548,157.3399913115092,551.2241724814892,6928.136999999993,1.1027094735453068e-15,53.00000456583633,167.99999084484878,0.0,342.7750851535721
15 Dec 2025 18:24:00.000,-6388.770664298225,2350.2536079213205,-1288.0216101542107,-2.650129044473489,-3.975290800116595,5.891302669617442,0.007657829153861634,-0.0028171054406889336,0.0015438728286431883,-10.915391714462826,159.46500601351218,550.7609997039207,6928.1370000000015,7.259102969083142e-17,53.00000456584388,167.99999084485438,0.0,346.5388117669424
15 Dec 2025 18:25:00.000,-6533.884939370692,2106.838694043749,-932.0196388026826,-2.1852739366645206,-4.135621786724841,5.9711622237045905,0.00783176877146309,-0.0025253388517905446,0.0011171550110382251,-7.916860460476073,161.54321866413133,550.4025771016286,6928.136999999994,9.176493710487045e-16,53.00000456585144,167.99999084485856,0.0,350.30253838031354
15 Dec 2025 18:26:00.000,-6650.814983867741,1854.335828956407,-571.9973553941574,-1.7109925434107274,-4.278113567547921,6.025264879028182,0.007971925673434183,-0.002222679090890856,0.000685618290940841,-4.905071685850184,163.588086804197,550.1551309715683,6928.137,3.6677251888072296e-16,53.000004565859,167.99999084486532,0.0,354.06626499368383
15 Dec 2025 18:27:00.000,-6739.056414353462,1593.8341960528242,-209.50773356399924,-1.2293307005768404,-4.402151497356629,6.053377261152262,0.008077695286159236,-0.001910431695593761,0.00025112412298839364,-1.8851851587557322,165.6125465408378,550.0229614397798,6928.137,1.361081806703089e-16,53.00000456586653,167.99999084487334,0.0,357.8299916070542
15 Dec 2025 18:28:00.000,-6798.228597124159,1326.4574818011672,153.88561006802118,-0.7423660799563424,-4.50720053250589,6.055378105948799,0.00814862136726765,-0.0015899435602311836,-0.0001844532810864515,1.1377902634663064,167.62921339703678,550.0083659027741,6928.136999999994,3.8132783888335656e-16,53.00000456587412,167.99999084487754,0.0,1.5937182204244906
15 Dec 2025 18:29:00.000,-6828.076290090725,1053.3590286663105,516.615160634175,-0.25219922713192106,-4.5928075388718295,6.031258782676411,0.00818439797365801,-0.0012625971259668473,-0.0006192350369593148,4.158902948543743,169.65058022639454,550.1115980865814,6928.136999999999,2.580012211189559e-16,53.00000456588166,167.99999084488303,0.0,5.3574448337948155
15 Dec 2025 18:30:00.000,-6828.47074377735,775.7168601128994,877.1162665704177,0.2390554993288582,-4.6586032464674725,5.9811233312094965,0.008184870781197992,-0.0009298044175713233,-0.0010513456923730454,7.173166777736759,171.68921388185396,550.3308635235691,6928.137000000005,5.738913751060366e-16,53.000004565889235,167.99999084488854,0.0,9.121171447165137
15 Dec 2025 18:31:00.000,-6799.410256688883,494.72859914267093,1233.8338888170363,0.7292790482628643,-4.704303842306958,5.9051880132571615,0.00815003775040928,-0.0005930009525831088,-0.0014789213169922788,10.17546824378522,173.75795264409336,550.6623515355019,6928.137000000005,9.171108683728825e-16,53.000004565896816,167.9999908448966,0.0,12.884898060535477
15 Dec 2025 18:32:00.000,-6741.020182650186,211.60630229083645,1585.2293085552853,1.216356816540678,-4.72971219464676,5.803780379507824,0.008080049135264845,-0.0002536395491356431,-0.0019001175425576245,13.16046917143051,175.87010622568647,551.1003030975052,6928.137000000002,5.513547367726534e-16,53.00000456590442,167.99999084490085,0.0,16.648624673905815
