Node Name,Node IP,Network Card,Time(YYYY-MM-DD HH:MM:SS),Inbound Traffic Rate(B/s)
k8s-worker11,10.1.1.10,cni0,2026-01-20 14:27:16,6484.905499649998 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 15:27:16,6483.3481481481485 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 16:27:16,6483.792592592593 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 17:27:16,6485.3 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 18:27:16,6484.040740740741 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 19:27:16,6484.12962962963 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 20:27:16,6483.394382942158 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 21:27:16,6490.246260171333 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 22:27:16,6486.5463461246445 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 23:27:16,6485.840740740741 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 00:27:16,6485.453757578676 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 01:27:16,6674.446942396082 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 02:27:16,6670.316035866535 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 03:27:16,6676.344444444445 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 04:27:16,6674.6 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 05:27:16,6495.950014999945 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 06:27:16,6675.944444444444 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 07:27:16,6492.781481481482 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 08:27:16,6679.30118777338 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 09:27:16,6485.585185185186 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 10:27:16,6668.902477416582 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 11:27:16,6673.166666666667 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 12:27:16,6670.355555555556 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 13:27:16,6482.983396357792 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 14:27:16,6485.327832119141 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 15:27:16,6491.012996248162 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 16:27:16,6480.32962962963 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 17:27:16,6485.722222222223 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 18:27:16,6479.788888888889 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 19:27:16,6483.361049485367 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 20:27:16,6487.972266769383 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 21:27:16,6482.985185185185 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 22:27:16,6483.175863614309 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-21 23:27:16,6482.679565479872 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 00:27:16,6484.57037037037 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 01:27:16,6484.133333333333 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 02:27:16,6484.055555555556 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 03:27:16,6484.883277345471 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 04:27:16,6483.551851851852 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 05:27:16,6488.349956851691 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 06:27:16,6483.472283435988 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 07:27:16,6484.177777777778 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 08:27:16,6488.170370370371 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 09:27:16,6488.137037037037 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 10:27:16,6481.8019192521515 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 11:27:16,6482.5148148148155 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 12:27:16,6484.983388950412 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 13:27:16,6483.583394135578 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 14:27:16,6664.618518518519 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-22 15:27:16,6484.448148148148 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-15 15:27:16,3928.6335976533423 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-15 16:27:16,3941.337254306466 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-15 17:27:16,3835.6925925925925 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-15 18:27:16,3831.7814814814815 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-15 19:27:16,3830.922848433895 B/s
